Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2626	7	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	19	178	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2732	45	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	18	158	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	141	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	144	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7475	17	1	0	0	0	0	0	1	744	0	0	0	0	0	0	0	0	0	0	53	58	0	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2382	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6751	15	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	51	57	0	0	0	0	4	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6407	15	0	0	0	0	0	0	1	335	0	0	0	0	0	0	0	2	0	0	47	59	0	0	0	0	1	0	0
fsh-generated/resources/Immunization-Immunization1.json	890	5	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3320	7	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3321	8	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1020	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	711	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	459	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1539	5	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	161	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2241	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	1922	16	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-AdministerVaccine.json	6383	35	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	68	16668	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-IMMZD1ClientHistoryMeasles.json	6742	13	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	61	403	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-QIMMZCRegisterClient.json	9279	18	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	76	193	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-QIMMZD4CheckContraindicationsMeasles.json	2457	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	207	0	0	0	0	1	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.C.QuestionnaireResponse.1.json	2494	7	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	46	33	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.1.json	1107	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	31	14	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.2.json	1590	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	36	15	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D1.QuestionnaireResponse.3.json	2332	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	57	18	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.1.json	685	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.2.json	692	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.3.json	692	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.4.json	1723	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	28	13	1	0	0	0	0	0	1
fsh-generated/resources/Requirements-immz-e-fxnreq.json	6348	8	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	52	29	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-IMMZCRegisterClient.json	8999	15	0	0	0	0	0	65	0	144	0	0	1	0	0	0	0	0	0	0	201	800	0	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-IMMZD1ClientHistoryMeasles.json	7796	14	0	0	0	0	0	64	0	67	0	0	0	0	0	0	0	0	0	0	119	421	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-IMMZD4CheckContraindicationsMeasles.json	2400	6	0	0	0	0	0	28	0	18	0	0	0	0	0	0	0	0	0	0	69	135	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-IMMZDUpdateVaccinationRecord.json	8346	14	0	0	0	0	0	62	0	60	0	0	0	0	0	0	0	0	0	0	152	252	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGImmunization.json	1851	6	0	0	0	0	0	276	0	232	0	0	2	0	0	0	0	1	0	0	305	939	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGMedicationClassification.json	1536	6	0	0	0	0	0	36	0	33	0	0	0	0	0	0	0	0	0	0	96	119	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGVaccineProduct.json	1744	6	0	0	0	0	0	102	0	118	0	0	0	0	0	0	0	0	0	0	165	466	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SGVaccineProposal.json	2120	6	1	0	0	0	0	219	0	252	0	0	2	0	0	0	0	1	0	0	318	571	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGVaccineRequest.json	1623	6	0	0	0	0	0	178	0	141	0	0	0	0	0	0	0	1	0	0	253	614	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-sg-ext-administeredProduct.json	1652	5	0	0	0	0	0	30	0	20	0	0	0	0	0	0	0	0	0	0	53	88	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-ARVDrugs-values.json	751	4	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	11	231	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-AllVaccineTypes.json	1478	5	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	12	227	0	0	1	0	1	0	0
fsh-generated/resources/ValueSet-Birthweight-values.json	866	5	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	10	288	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVstatus-values.json	1032	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	10	233	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.C.DE5.json	843	4	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	12	190	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE10.json	753	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	190	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE1VS.json	705	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	195	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D1.DE5VS.json	1227	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	207	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IMMZ.D4.DE161.json	1050	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	216	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IMMZ.Z.DE9.json	1675	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	191	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Immunocompromised-values.json	726	4	1	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	9	226	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-LiveAttenuatedVaccines.json	1594	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17	231	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-Negativetestresult-values.json	620	4	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	9	216	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PositiveTestResult-values.json	626	3	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	14	229	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSMeaslesVaccineProducts.json	535	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	178	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VaccineTypes.json	1224	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	196	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-country.json	1632	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	1171	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-immunization-status.json	2022	6	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	14	192	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-pregnancystatus-values.json	1649	6	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	12	279	0	0	0	0	1	0	0
input/maps/IMMZCLMToPatient.fml	1875	14	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	35	25	0	0	0	0	2	0	0
input/maps/IMMZCQRToLM.fml	2613	15	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	38	21	0	0	0	0	3	0	0
input/maps/IMMZCQRToPatient.fml	1219	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	1	0	1
input/maps/IMMZD1LMToResources.fml	5457	40	0	0	0	0	0	0	2	55	0	0	0	0	0	0	0	1	0	0	102	47	0	0	0	0	4	0	0
input/maps/IMMZD1QRToLM.fml	2484	14	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	40	21	0	0	0	0	1	0	0
input/maps/IMMZD1QRToResources.fml	948	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	1	0	0
input/maps/IMMZD4LMToResources.fml	1003	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	0	2	0	0
input/maps/IMMZD4QRToLM.fml	697	6	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0
input/maps/IMMZD4QRToResources.fml	966	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	4	0	0
input/resources/device/Device-cqf-tooling.json	496	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0
input/resources/library/Library-FHIRCommon.json	846519	56	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	1694	126	0	0	0	0	79	0	0
input/resources/library/Library-FHIRHelpers.json	1692100	101	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	3305	242	0	0	0	0	130	0	0
input/resources/library/Library-IMMZCommon.json	542318	58	0	0	0	0	0	0	1	149	0	0	0	0	0	0	0	0	0	0	1108	109	0	0	0	0	45	0	0
input/resources/library/Library-IMMZCommonIzDataElements.json	53781	11	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	118	18	0	0	0	0	5	0	0
input/resources/library/Library-IMMZConcepts.json	62988	14	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	149	21	0	0	0	0	4	0	0
input/resources/library/Library-IMMZConfig.json	77171	21	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	177	25	0	0	0	0	8	0	0
input/resources/library/Library-IMMZD2DTMeasles.json	313868	38	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	745	81	0	0	0	0	28	0	0
input/resources/library/Library-IMMZDT08.json	460547	49	0	0	0	0	0	0	1	131	0	0	0	0	0	0	0	1	0	0	949	136	0	0	0	0	37	0	0
input/resources/library/Library-IMMZINDMeasles.json	80921	15	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	181	25	0	0	0	0	7	0	0
input/resources/library/Library-IMMZIndicatorCommon.json	480032	41	0	0	0	0	0	0	1	62	0	0	0	0	0	0	0	0	0	0	971	107	0	0	0	0	36	0	0
input/resources/library/Library-IMMZVaccineLibrary.json	27748	11	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	71	17	0	0	0	0	2	0	0
input/resources/library/Library-WHOCommon.json	298133	22	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	598	58	0	0	0	0	24	0	0
input/resources/library/Library-WHOConcepts.json	19321	8	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	52	22	0	0	0	0	2	0	0
